Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MACD,MACD_Signal,MACD_Hist,ATR
2026-05-13,3510.0,3551.0,3482.0,3492.0,3575.8,3693.8,3501.9,-16.7,22.2,-38.9,133.6
2026-05-14,3450.0,3474.0,3395.0,3427.0,3530.4,3692.0,3504.7,-30.9,11.6,-42.4,129.6
2026-05-15,3389.0,3433.0,3358.0,3360.0,3472.4,3683.1,3507.9,-47.0,-0.1,-46.8,127.4
2026-05-18,3390.0,3393.0,3265.0,3293.0,3402.4,3673.5,3511.3,-64.4,-13.0,-51.4,125.6
2026-05-19,3320.0,3406.0,3301.0,3386.0,3391.6,3663.4,3516.2,-69.9,-24.4,-45.5,124.2
2026-05-20,3520.0,3550.0,3449.0,3504.0,3394.0,3659.4,3522.6,-64.0,-32.3,-31.7,126.1
2026-05-21,3520.0,3525.0,3437.0,3453.0,3399.2,3647.5,3528.0,-62.7,-38.4,-24.3,124.1
2026-05-22,3475.0,3637.0,3462.0,3616.0,3450.4,3640.0,3535.9,-48.0,-40.3,-7.7,127.4
2026-05-25,3616.0,3712.0,3589.0,3660.0,3523.8,3635.4,3544.9,-32.4,-38.7,6.3,125.2
2026-05-26,3659.0,3682.0,3566.0,3624.0,3571.4,3623.9,3552.3,-22.7,-35.5,12.8,120.6
2026-05-27,3612.0,3719.0,3610.0,3688.0,3608.2,3610.8,3559.0,-9.7,-30.3,20.6,122.9
2026-05-28,3700.0,3783.0,3674.0,3738.0,3665.2,3602.6,3565.7,4.6,-23.4,27.9,122.6
2026-05-29,3721.0,3926.0,3715.0,3883.0,3718.6,3603.7,3575.7,27.3,-13.2,40.5,133.1
2026-06-01,3780.0,3780.0,3632.0,3676.0,3721.8,3599.4,3581.2,28.2,-4.9,33.2,134.2
2026-06-02,3659.0,3724.0,3586.0,3691.0,3735.2,3596.9,3587.0,29.8,2.0,27.8,136.1
2026-06-03,3650.0,3733.0,3563.0,3679.0,3733.4,3592.9,3593.0,29.8,7.6,22.2,141.4
2026-06-04,3686.0,3686.0,3561.0,3563.0,3698.4,3587.4,3595.2,20.2,10.1,10.1,144.9
