Date,Open,High,Low,Close,MA_Short,MA_Mid,MA_Long,MA_Signal,MACD,MACD_Signal,MACD_Hist,ATR,Is_Weekly_Up
2026-04-03,2781.0,2790.0,2753.0,2761.5,2710.1,2666.6,2686.8,2686.8,-2.7,-25.2,22.6,89.4,True
2026-04-06,2778.5,2815.5,2770.0,2792.0,2744.3,2661.8,2692.2,2692.2,5.8,-19.0,24.8,89.5,True
2026-04-07,2800.0,2827.0,2787.5,2811.0,2786.5,2663.5,2697.0,2697.0,13.9,-12.5,26.3,88.0,True
2026-04-08,2930.0,2932.5,2865.0,2885.0,2801.9,2670.0,2702.0,2702.0,25.9,-4.8,30.7,91.3,True
2026-04-09,2896.0,2903.0,2830.5,2842.5,2818.4,2679.9,2707.5,2707.5,31.7,2.5,29.2,92.2,True
2026-04-10,2851.0,2882.5,2842.0,2842.0,2834.5,2686.3,2713.2,2713.2,35.8,9.2,26.6,83.5,True
2026-04-13,2847.5,2891.5,2829.0,2860.0,2848.1,2692.4,2719.6,2719.6,40.1,15.4,24.7,82.4,True
2026-04-14,2889.5,2889.5,2825.0,2850.0,2855.9,2701.8,2725.6,2725.6,42.2,20.7,21.4,80.4,True
2026-04-15,2866.0,2919.0,2865.0,2913.5,2861.6,2711.5,2731.8,2731.8,48.4,26.2,22.1,81.0,True
2026-04-16,2935.0,2966.5,2932.0,2946.5,2882.4,2724.0,2738.1,2738.1,55.3,32.1,23.3,81.5,True
2026-04-17,2920.0,2926.0,2847.0,2870.0,2888.0,2734.6,2744.0,2744.0,54.0,36.5,17.6,82.1,True
2026-04-20,2885.0,2894.5,2866.0,2870.5,2890.1,2745.2,2749.7,2749.7,52.5,39.7,12.8,76.2,True
2026-04-21,2879.5,2880.5,2830.5,2830.5,2886.2,2755.0,2754.9,2754.9,47.4,41.2,6.2,64.6,True
2026-04-22,2820.0,2824.0,2772.0,2794.0,2862.3,2762.4,2759.5,2759.5,40.0,41.0,-0.9,60.8,True
2026-04-23,2794.0,2807.5,2728.0,2752.0,2823.4,2765.3,2763.6,2763.6,30.4,38.9,-8.4,63.8,True
2026-04-24,2782.5,2783.0,2740.0,2755.5,2800.5,2770.1,2767.1,2767.1,22.8,35.7,-12.8,63.0,True
2026-04-27,2745.0,2796.5,2715.0,2788.0,2784.0,2781.0,2769.9,2769.9,19.2,32.4,-13.1,66.0,True
2026-04-28,2821.0,2886.0,2796.5,2875.0,2792.9,2792.4,2774.0,2774.0,23.1,30.5,-7.4,64.3,True
2026-04-30,2868.0,2868.0,2785.0,2817.0,2797.5,2798.4,2777.4,2777.4,21.3,28.7,-7.4,65.6,True
2026-05-01,2800.0,2813.0,2754.0,2798.0,2806.7,2804.3,2780.2,2780.2,18.1,26.6,-8.5,67.2,True
2026-05-07,2850.0,2891.5,2817.5,2863.0,2828.2,2812.3,2782.0,2782.0,20.5,25.4,-4.8,69.4,True
2026-05-08,2816.5,2827.5,2788.0,2806.5,2831.9,2819.7,2781.7,2781.7,17.7,23.8,-6.1,70.1,False
2026-05-11,2810.0,2856.5,2801.5,2856.5,2828.2,2829.9,2781.0,2781.0,19.3,22.9,-3.6,69.1,False
2026-05-12,2885.5,2899.0,2846.0,2886.0,2842.0,2833.1,2780.4,2780.4,22.7,22.9,-0.2,69.1,False
2026-05-13,2875.5,2939.0,2863.0,2926.5,2867.7,2839.7,2780.8,2780.8,28.3,24.0,4.4,67.5,True
2026-05-14,2920.5,2923.5,2875.0,2877.0,2870.5,2844.3,2780.7,2780.7,28.5,24.9,3.6,69.1,False
2026-05-15,2910.5,2951.5,2877.5,2929.0,2895.0,2849.8,2782.8,2782.8,32.4,26.4,6.0,70.9,True
2026-05-18,2979.0,3063.0,2973.0,2995.0,2922.7,2857.2,2785.8,2785.8,40.4,29.2,11.2,76.2,True
2026-05-19,3030.0,3110.0,3026.0,3108.0,2967.1,2866.1,2790.2,2790.2,55.2,34.4,20.8,78.8,True
2026-05-20,3162.0,3170.0,3024.0,3030.0,2987.8,2873.6,2794.9,2794.9,59.9,39.5,20.4,86.1,True
2026-05-21,3090.0,3148.0,3067.0,3067.0,3025.8,2882.6,2799.5,2799.5,65.9,44.8,21.1,88.8,True
2026-05-22,3098.0,3140.0,3073.0,3091.0,3058.2,2891.8,2804.7,2804.7,71.7,50.2,21.6,87.0,True
2026-05-25,3090.0,3095.0,3043.0,3066.0,3072.4,2900.5,2809.3,2809.3,73.5,54.8,18.7,84.2,True
2026-05-26,3041.0,3088.0,3011.0,3061.0,3063.0,2906.4,2813.4,2813.4,73.7,58.6,15.1,85.2,True
2026-05-27,3061.0,3066.0,3017.0,3031.0,3063.2,2909.8,2817.9,2817.9,70.6,61.0,9.6,82.1,True
2026-05-28,3010.0,3011.0,2964.0,2982.0,3046.2,2914.2,2820.0,2820.0,63.4,61.5,1.9,81.5,True
2026-05-29,2995.0,3034.0,2984.0,2999.0,3027.8,2919.4,2821.4,2821.4,58.4,60.9,-2.4,81.3,True
2026-06-01,2995.0,3040.0,2976.5,3023.0,3019.2,2927.1,2824.0,2824.0,55.8,59.8,-4.1,82.0,True
2026-06-02,3013.0,3047.0,2972.5,3046.0,3016.2,2937.2,2826.0,2826.0,54.9,58.9,-3.9,81.9,True
2026-06-03,3062.0,3149.0,3052.0,3137.0,3037.4,2952.6,2829.1,2829.1,60.9,59.3,1.6,85.6,True
2026-06-04,3137.0,3208.0,3081.0,3169.0,3074.8,2969.1,2831.7,2831.7,67.4,60.9,6.5,89.4,True
2026-06-05,3210.0,3273.0,3202.0,3219.0,3118.8,2986.3,2834.3,2834.3,75.7,63.9,11.9,87.2,True
2026-06-08,3200.0,3217.0,3135.0,3168.0,3147.8,2998.1,2837.2,2837.2,77.3,66.5,10.8,85.0,True
2026-06-09,3197.0,3249.0,3168.0,3180.0,3174.6,3012.6,2841.5,2841.5,78.6,69.0,9.7,80.4,True
2026-06-10,3230.0,3305.0,3171.0,3183.0,3183.8,3028.0,2846.3,2846.3,79.0,71.0,8.0,81.5,True
2026-06-11,3113.0,3148.0,3080.0,3141.0,3178.2,3039.1,2849.6,2849.6,75.1,71.8,3.3,83.6,True
2026-06-12,3141.0,3205.0,3129.0,3162.0,3166.8,3053.3,2852.4,2852.4,72.8,72.0,0.8,85.4,True
2026-06-15,3231.0,3327.0,3225.0,3242.0,3181.6,3068.7,2857.1,2857.1,76.6,72.9,3.7,91.6,True
2026-06-16,3225.0,3236.0,3186.0,3228.0,3191.2,3082.4,2862.4,2862.4,77.5,73.8,3.7,92.1,True
2026-06-17,3266.0,3312.0,3260.0,3272.0,3209.0,3096.2,2869.0,2869.0,80.9,75.2,5.7,93.4,True
2026-06-18,3324.0,3394.0,3317.0,3374.0,3255.6,3116.1,2875.7,2875.7,90.8,78.3,12.4,98.4,True
2026-06-19,3370.0,3371.0,3258.0,3278.0,3278.8,3130.1,2880.6,2880.6,89.8,80.6,9.2,102.1,True
2026-06-22,3242.0,3335.0,3239.0,3333.0,3297.0,3143.6,2888.1,2888.1,92.4,83.0,9.4,103.6,True
2026-06-23,3336.0,3343.0,3265.0,3267.0,3304.8,3150.0,2895.4,2895.4,88.1,84.0,4.1,101.9,True
2026-06-24,3291.0,3292.0,3201.0,3205.0,3291.4,3157.0,2903.5,2903.5,78.8,83.0,-4.1,99.3,True
2026-06-25,3275.0,3276.0,3211.0,3233.0,3263.2,3163.6,2910.8,2910.8,72.9,81.0,-8.1,96.9,True
2026-06-26,3240.0,3285.0,3220.0,3245.0,3256.6,3169.8,2918.0,2918.0,68.4,78.4,-10.1,95.6,True
2026-06-29,3245.0,3267.0,3180.0,3211.0,3232.2,3175.6,2925.9,2925.9,61.3,75.0,-13.7,96.0,True
2026-06-30,3238.0,3257.0,3207.0,3207.0,3220.2,3181.4,2933.1,2933.1,54.8,71.0,-16.2,90.0,True
2026-07-01,3215.0,3267.0,3215.0,3247.0,3228.6,3190.0,2941.3,2941.3,52.2,67.2,-15.0,86.9,True
2026-07-02,3282.0,3338.0,3255.0,3306.0,3243.2,3203.0,2950.6,2950.6,54.3,64.6,-10.3,88.0,True
2026-07-03,3325.0,3337.0,3298.0,3326.0,3259.4,3216.1,2960.2,2960.2,57.0,63.1,-6.1,79.0,True
2026-07-06,3314.0,3370.0,3294.0,3370.0,3291.2,3230.0,2970.7,2970.7,61.9,62.9,-1.0,80.4,True
2026-07-07,3430.0,3518.0,3426.0,3446.0,3339.0,3246.0,2981.8,2981.8,71.1,64.5,6.6,85.0,True
2026-07-08,3455.0,3474.0,3401.0,3433.0,3376.2,3257.8,2991.9,2991.9,76.5,66.9,9.6,81.5,True
2026-07-09,3399.0,3424.0,3381.0,3414.0,3397.8,3267.6,3002.3,3002.3,78.3,69.2,9.1,76.9,True
2026-07-10,3468.0,3478.0,3410.0,3461.0,3424.8,3277.3,3014.9,3014.9,82.6,71.8,10.7,74.9,True
2026-07-13,3487.0,3564.0,3486.0,3541.0,3459.0,3292.2,3027.5,3027.5,91.4,75.8,15.6,76.7,True
2026-07-14,3511.0,3600.0,3501.0,3600.0,3489.8,3309.0,3040.0,3040.0,101.9,81.0,20.9,77.3,True
2026-07-15,3656.0,3733.0,3642.0,3697.0,3542.6,3329.6,3053.9,3053.9,116.8,88.1,28.6,81.7,True
2026-07-16,3678.0,3697.0,3625.0,3629.0,3585.6,3349.1,3066.8,3066.8,121.6,94.8,26.8,82.2,True
2026-07-17,3614.0,3618.0,3411.0,3473.0,3588.0,3361.5,3078.2,3078.2,111.6,98.2,13.4,91.6,True
2026-07-21,3519.0,3580.0,3473.0,3580.0,3595.8,3375.0,3091.2,3091.2,111.1,100.8,10.3,95.6,True
2026-07-22,3599.0,3685.0,3573.0,3668.0,3609.4,3392.6,3102.7,3102.7,116.4,103.9,12.5,99.4,True
2026-07-23,3626.0,3778.0,3625.0,3750.0,3620.0,3411.8,3115.9,3115.9,125.7,108.3,17.5,103.8,True
2026-07-24,3680.0,3774.0,3676.0,3754.0,3645.0,3427.0,3129.1,3129.1,132.0,113.0,19.0,108.0,True
2026-07-27,3770.0,3813.0,3760.0,3799.0,3710.2,3447.8,3142.6,3142.6,138.9,118.2,20.7,106.8,True
2026-07-28,3760.0,3770.0,3630.0,3661.0,3726.4,3460.9,3153.9,3153.9,131.8,120.9,10.9,108.3,True
2026-07-29,3645.0,3674.0,3560.0,3647.0,3722.2,3476.1,3164.1,3164.1,123.6,121.4,2.1,111.2,True
2026-07-30,3560.0,3581.0,3514.0,3525.0,3677.2,3488.9,3173.2,3173.2,106.0,118.3,-12.3,117.0,True
2026-07-31,3595.0,3615.0,3523.0,3571.0,3640.6,3502.4,3182.9,3182.9,94.7,113.6,-18.9,118.7,True
2026-08-03,3530.0,3573.0,3426.0,3567.0,3594.2,3515.3,3192.3,3192.3,84.4,107.8,-23.3,121.9,True
2026-08-04,3465.0,3528.0,3444.0,3470.0,3556.0,3525.7,3200.6,3200.6,67.7,99.8,-32.1,123.6,True
2026-08-05,3480.0,3558.0,3449.0,3541.0,3534.8,3539.0,3208.9,3208.9,59.5,91.7,-32.2,121.9,True
2026-08-06,3541.0,3603.0,3538.0,3574.0,3544.6,3552.1,3217.3,3217.3,55.0,84.4,-29.4,121.4,True
2026-08-07,3601.0,3603.0,3546.0,3564.0,3543.2,3562.4,3226.6,3226.6,50.1,77.5,-27.4,109.9,True
2026-08-10,3550.0,3551.0,3479.0,3510.0,3531.8,3569.8,3235.1,3235.1,41.3,70.3,-29.0,108.3,True
2026-08-12,3567.0,3616.0,3546.0,3606.0,3559.0,3579.2,3245.4,3245.4,41.6,64.5,-22.9,107.9,True
2026-08-13,3657.0,3709.0,3627.0,3709.0,3592.6,3589.8,3257.6,3257.6,49.7,61.6,-11.9,104.3,True
